Hour_End,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,ERCOT
1/1/2013 1:00,7606.26354,1073.89244,1411.75057,784.97817,10369.09439,2206.67508,4368.49095,882.93190,28704.07703
1/1/2013 2:00,7388.08271,1035.02194,1403.47229,776.30739,10152.35852,2159.73321,4233.58797,872.40475,28020.96877
1/1/2013 3:00,7178.86788,1036.08870,1395.05315,768.12575,9988.05142,2065.11471,4082.86286,868.85394,27383.01840
1/1/2013 4:00,7038.82258,1032.64884,1395.50882,770.93797,9946.65865,1990.90370,4010.48961,865.70120,27051.67137
1/1/2013 5:00,6990.85794,1042.82304,1401.21684,779.08931,10096.66419,1954.80759,4038.65600,879.92425,27184.03916
1/1/2013 6:00,7049.79019,1069.14338,1419.45942,799.66553,10470.76587,1961.81166,4174.01274,911.11081,27855.75959
1/1/2013 7:00,7176.99534,1109.02096,1444.36332,815.01216,10890.04739,1994.28665,4360.95235,950.71335,28741.39153
1/1/2013 8:00,7222.68006,1148.71573,1463.18411,834.53885,11189.39985,2041.82164,4522.10731,989.52817,29411.97572
1/1/2013 9:00,7313.82729,1196.90876,1474.80541,861.58370,11626.46969,2131.38675,4688.30991,1021.07846,30314.36997
1/1/2013 10:00,7676.26309,1235.78260,1500.83736,891.11264,12309.87420,2249.79490,4992.41342,1047.99936,31904.07757
1/1/2013 11:00,8060.58586,1406.42954,1507.77108,914.01180,12934.21022,2341.64842,5270.26150,1048.64139,33483.55981
1/1/2013 12:00,8392.87294,1342.00099,1489.98077,925.36461,13200.59964,2390.55453,5427.13822,1040.21430,34208.72600
1/1/2013 13:00,8508.46028,1328.37728,1467.22426,916.29755,13061.03760,2419.44341,5449.83339,1023.16108,34173.83485
1/1/2013 14:00,8497.61955,1319.83414,1439.25417,902.87013,12849.92556,2392.04750,5401.31403,996.80416,33799.66924
1/1/2013 15:00,8466.28444,1296.62066,1419.77915,891.50829,12723.70340,2359.21865,5287.69987,974.87310,33419.68756
1/1/2013 16:00,8430.93026,1298.20564,1410.69273,891.19739,12609.05231,2359.25797,5225.69464,964.86492,33189.89586
1/1/2013 17:00,8559.85738,1320.74402,1424.58158,907.79049,13027.14291,2373.88542,5319.84055,987.85352,33921.69586
1/1/2013 18:00,9094.19777,1420.35173,1467.44718,952.91136,14089.02237,2494.39238,5756.90891,1051.77463,36327.00631
1/1/2013 19:00,9538.66375,1481.98215,1543.82335,981.60602,14736.17039,2732.59656,6293.95579,1128.53191,38437.32991
1/1/2013 20:00,9561.89840,1482.73508,1567.12622,979.69130,14707.85742,2756.55497,6349.71538,1141.57361,38547.15238
1/1/2013 21:00,9511.65806,1468.03167,1574.66214,972.51189,14595.25893,2740.98240,6323.19381,1143.91194,38330.21083
1/1/2013 22:00,9330.17973,1383.80166,1564.78647,949.74920,14242.97434,2668.15057,6196.42094,1126.71394,37462.77685
1/1/2013 23:00,8959.04672,1350.50617,1535.76773,910.12303,13607.98818,2550.20429,5920.11000,1092.90543,35926.65153
1/2/2013 0:00,8504.49635,1320.85193,1501.87438,875.17023,12942.57759,2400.97420,5615.98888,1056.34643,34218.28000
1/2/2013 1:00,8100.21442,1272.27615,1519.35910,848.24562,12448.29958,2363.74090,5430.17758,1031.98546,33014.29881
